ID	YD16L1	YD16L2	YD16L3	YD16L4	YD17L1	YD17L2	YD17L3	YD17L4	YD18L1	YD18L2	YD18L3	YD18L4	YD1L1	YD1L2	YD1L3	YD1L4	YD22L1	YD22L2	YD22L3	YD22L4	YD23L1	YD23L2	YD23L3	YD23L4	YD24L1	YD24L2	YD24L3	YD24L4	YD2L1	YD2L2	YD2L3	YD2L4	YD31L1	YD31L2	YD31L3	YD31L4	YD32L1	YD32L2	YD32L3	YD32L4	YD33L1	YD33L2	YD33L3	YD33L4	YD3L1	YD3L2	YD3L4	YD43L1	YD43L2	YD43L3	YD43L4	YD44L1	YD44L2	YD44L3	YD44L4	YD45L1	YD45L2	YD45L3	YD45L4	YD46L1	YD46L2	YD46L3	YD46L4	YD47L1	YD47L2	YD47L3	YD47L4	YD48L1	YD48L2	YD48L3	YD48L4	YD3L3
Zotu2	52	21	50	35	48	22	49	16	15	23	50	27	39	48	56	28	32	31	49	19	32	18	39	15	24	41	39	28	34	26	41	41	35	54	42	23	33	46	31	19	27	44	34	31	28	27	45	44	36	32	22	49	41	39	24	68	48	42	30	51	63	37	40	40	65	32	30	28	35	30	23	30
Zotu3	11	12	34	63	2	6	26	35	11	18	33	32	1	20	29	44	16	4	30	27	4	3	27	37	6	20	23	35	2	9	15	41	6	23	32	29	4	40	34	36	7	30	36	58	0	9	42	6	31	53	49	13	27	44	69	11	26	29	60	29	43	68	125	7	19	33	56	6	41	41	82	45
Zotu4	266	151	140	88	175	81	130	93	129	130	182	143	192	179	139	243	188	150	147	101	198	128	136	52	149	224	172	90	198	174	137	87	152	138	108	86	139	154	129	100	161	221	163	150	89	139	166	86	177	211	146	180	151	95	78	163	197	135	87	184	244	166	114	155	181	86	109	119	147	78	150	146
Zotu5	89	101	73	28	170	480	167	135	79	78	35	34	85	121	37	19	127	133	89	120	113	187	71	59	176	105	102	90	144	162	63	43	151	111	85	177	109	50	40	46	220	134	99	71	130	62	39	86	104	56	69	155	97	49	43	252	161	191	134	99	53	31	19	145	110	148	157	155	119	95	34	29
Zotu6	329	189	117	35	250	142	129	77	281	181	227	57	505	249	154	140	288	185	107	51	246	249	156	59	216	305	131	57	331	212	138	46	330	209	144	63	229	276	197	119	264	336	101	33	162	173	112	164	138	103	63	227	143	67	53	209	181	100	42	441	346	199	153	327	227	124	43	298	368	113	78	132
Zotu7	190	80	41	28	104	28	47	19	52	19	40	13	131	44	37	32	165	16	51	10	143	49	44	17	88	46	43	12	128	32	28	21	105	38	25	14	81	34	27	20	114	52	46	27	58	55	32	79	74	68	76	119	69	66	40	155	67	48	28	120	66	69	24	161	48	64	45	87	76	34	35	47
Zotu8	97	108	303	386	71	37	89	175	87	121	180	566	77	69	353	496	122	197	162	231	80	57	80	113	85	93	188	324	70	88	270	447	120	63	71	322	39	87	144	180	61	110	376	473	45	70	230	32	131	178	207	119	160	309	383	94	102	217	455	41	85	102	293	102	116	91	199	37	40	146	350	99
Zotu10	180	109	97	55	76	58	77	32	89	92	162	63	118	76	87	60	99	64	92	35	141	98	59	34	99	147	115	59	156	116	116	73	69	122	114	60	81	103	110	53	86	136	86	62	40	60	42	34	116	115	72	67	85	74	49	61	129	72	60	41	120	79	53	71	102	89	62	55	116	57	48	94
Zotu11	172	346	452	320	93	168	257	132	91	352	482	565	63	164	353	453	40	210	307	280	66	89	49	64	50	313	357	411	85	289	526	359	33	293	298	298	71	86	133	80	57	284	467	311	39	155	279	37	447	407	460	82	256	464	386	32	217	290	300	85	244	270	320	66	209	247	272	46	208	294	418	322
Zotu12	63	232	418	973	46	136	137	247	59	283	362	971	37	213	748	587	23	96	389	316	36	70	473	707	23	109	324	559	69	223	439	497	13	118	206	396	63	216	305	858	30	187	306	990	14	109	452	4	237	109	432	47	228	258	608	22	217	249	449	52	235	498	705	19	91	251	303	44	82	233	343	342
