Sample,Total links,Average degree all,linkage.density
YD16L1,164,1.53271028,2.219512195
YD17L1,134,1.472527473,1.940298507
YD18L1,161,1.548076923,3.291925466
YD1L1,139,1.404040404,2.223021583
YD22L1,256,1.523809524,2.78125
YD23L1,127,1.50295858,2.669291339
YD24L1,184,1.579399142,2.733695652
YD2L1,240,1.568627451,2.483333333
YD31L1,199,1.644628099,3.075376884
YD32L1,126,1.44,2.73015873
YD33L1,174,1.539823009,2.58045977
YD3L1,186,1.537190083,2.602150538
YD43L1,176,1.485232068,2.607954545
YD44L1,246,1.523219814,2.308943089
YD45L1,125,1.436781609,3.648
YD46L1,118,1.404761905,2.423728814
YD47L1,263,1.598784195,2.771863118
YD48L1,180,1.445783133,2.116666667
YD16L2,63,1.235294118,1.555555556
YD17L2,134,1.585798817,3.074626866
YD18L2,131,1.401069519,1.93129771
YD1L2,72,1.309090909,1.833333333
YD22L2,116,1.45,2.120689655
YD23L2,170,1.471861472,2.070588235
YD24L2,164,1.497716895,2.365853659
YD2L2,206,1.60311284,2.825242718
YD31L2,50,1.298701299,1.68
YD32L2,203,1.543726236,2.369458128
YD33L2,187,1.47826087,2.155080214
YD3L2,200,1.587301587,2.795
YD43L2,89,1.390625,1.93258427
YD44L2,26,1.209302326,1.423076923
YD45L2,147,1.47,2.095238095
YD46L2,114,1.443037975,2.078947368
YD47L2,172,1.457627119,2.13372093
YD48L2,145,1.457286432,2.524137931
YD16L3,228,1.466237942,1.964912281
YD17L3,240,1.514195584,2.354166667
YD18L3,220,1.501706485,2.268181818
YD1L3,223,1.5221843,2.255605381
YD22L3,303,1.616,2.511551155
YD23L3,156,1.344827586,1.705128205
YD24L3,217,1.476190476,2.082949309
YD2L3,192,1.5,2.46875
YD31L3,154,1.4,2.058441558
YD32L3,161,1.470319635,2.596273292
YD33L3,156,1.399103139,1.948717949
YD43L3,264,1.512893983,2.390151515
YD44L3,282,1.55801105,2.560283688
YD45L3,278,1.588571429,2.54676259
YD46L3,235,1.487341772,2.263829787
YD47L3,218,1.524475524,2.417431193
YD48L3,215,1.47766323,2.2
YD3L3,304,1.539240506,2.332236842
YD16L4,290,1.611111111,4.737931034
YD17L4,232,1.546666667,2.63362069
YD18L4,260,1.529411765,3.815384615
YD1L4,212,1.6,6.853773585
YD22L4,210,1.494661922,2.552380952
YD23L4,206,1.641434263,3.859223301
YD24L4,271,1.652439024,2.848708487
YD2L4,266,1.573964497,3.69924812
YD31L4,259,1.574468085,4.173745174
YD32L4,278,1.584045584,4.125899281
YD33L4,205,1.512915129,2.229268293
YD3L4,349,1.642352941,5.401146132
YD43L4,243,1.495384615,2.205761317
YD44L4,261,1.572289157,2.881226054
YD45L4,208,1.439446367,2.129807692
YD46L4,210,1.494661922,2.561904762
YD47L4,261,1.466292135,2.490421456
YD48L4,144,1.339534884,1.791666667
