"","Average.clustering.coefficient","Average.degree","Density","Krackhardt.Connectedness","Total.links"
"YD1L1",0.130730221,3.235877106,0.001604302,0.651735766,3265
"YD1L2",0.126864257,2.930208333,0.001526945,0.618660978,2813
"YD1L3",0.159131187,3.491821156,0.001904976,0.635602825,3202
"YD1L4",0.185257708,4.476012461,0.002790531,0.668308978,3592
"YD16L1",0.1243902,3.168856448,0.001542773,0.641686153,3256
"YD16L2",0.125867042,2.967088608,0.001503084,0.632063407,2930
"YD16L3",0.158031145,3.661324786,0.001956881,0.663745335,3427
"YD16L4",0.182837362,4.601851852,0.002664651,0.678229348,3976
"YD17L1",0.128216359,3.153576788,0.001578367,0.607616621,3152
"YD17L2",0.130559272,2.878335112,0.001536751,0.61294438,2697
"YD17L3",0.157998134,3.623867874,0.001931699,0.633732547,3401
"YD17L4",0.183912417,4.550842533,0.002645839,0.678966393,3916
"YD18L1",0.128241999,3.244023904,0.001616355,0.62239284,3257
"YD18L2",0.126177273,2.96177686,0.001530634,0.656093707,2867
"YD18L3",0.154306179,3.513661202,0.001921083,0.649786828,3215
"YD18L4",0.178298008,4.481308411,0.002619117,0.686116361,3836
"YD2L1",0.127282085,3.166260361,0.001544517,0.620913534,3247
"YD2L2",0.126288361,2.951646091,0.001519118,0.638318624,2869
"YD2L3",0.160518392,3.608346709,0.001931663,0.652855734,3372
"YD2L4",0.182590115,4.585282373,0.00261717,0.692792786,4019
"YD22L1",0.120727486,3.170140572,0.001537411,0.616039941,3270
"YD22L2",0.13820033,2.934362934,0.001619406,0.623145446,2660
"YD22L3",0.155725279,3.62605042,0.001905439,0.654316824,3452
"YD22L4",0.188754083,4.657694558,0.002726987,0.679819471,3980
"YD23L1",0.124205832,3.177088305,0.001517234,0.632495162,3328
"YD23L2",0.131588345,2.773420479,0.001511401,0.626420426,2546
"YD23L3",0.157828346,3.309284447,0.001958156,0.569602385,2798
"YD23L4",0.198239944,4.052945069,0.00268407,0.606917922,3062
"YD24L1",0.131436552,3.245537868,0.001566379,0.667073627,3364
"YD24L2",0.127582535,2.954404145,0.001531573,0.635999753,2851
"YD24L3",0.15636099,3.60236432,0.001936755,0.661064984,3352
"YD24L4",0.182761364,4.630733945,0.002656761,0.684691584,4038
"YD3L1",0.123820308,2.783798577,0.001524534,0.532567649,2543
"YD3L2",0.123562399,2.780920688,0.001543241,0.596234664,2507
"YD3L3",0.155737684,3.428414097,0.001888933,0.628911664,3113
"YD3L4",0.180682982,4.530380466,0.00257408,0.67248077,3989
"YD31L1",0.126292055,3.245681382,0.001558176,0.635348489,3382
"YD31L2",0.131715151,2.972222222,0.001529708,0.652348623,2889
"YD31L3",0.158352353,3.626519337,0.002004709,0.635717056,3282
"YD31L4",0.184430183,4.635011442,0.002653126,0.684414865,4051
"YD32L1",0.123191011,3.141566265,0.001577884,0.59240629,3129
"YD32L2",0.125279087,2.785478548,0.00153301,0.580574733,2532
"YD32L3",0.154923271,3.467625899,0.001920059,0.623780046,3133
"YD32L4",0.178856448,4.091301666,0.002525495,0.643300508,3316
"YD33L1",0.12523442,3.223575256,0.001570943,0.648379825,3309
"YD33L2",0.125771402,2.8512,0.001521451,0.613099964,2673
"YD33L3",0.163768993,3.577625571,0.00204319,0.628686413,3134
"YD33L4",0.185186977,4.615384615,0.002691186,0.668552536,3960
"YD43L1",0.131713887,3.061892583,0.001566987,0.595150874,2993
"YD43L2",0.129170903,2.946824987,0.00152212,0.654562948,2854
"YD43L3",0.15334423,3.569247546,0.001947216,0.642572467,3273
"YD43L4",0.182385819,4.655606407,0.002664915,0.68911989,4069
"YD44L1",0.127088691,3.216936251,0.001531145,0.635102853,3381
"YD44L2",0.131077197,2.943573668,0.001538721,0.621716016,2817
"YD44L3",0.164745661,3.670804101,0.001982076,0.658031049,3401
"YD44L4",0.17822185,4.616438356,0.002636458,0.697377102,4044
"YD45L1",0.125210695,3.195965418,0.001535783,0.633536304,3327
"YD45L2",0.128375273,2.970065956,0.001507648,0.645981967,2927
"YD45L3",0.153281677,3.615548456,0.001926238,0.656075479,3395
"YD45L4",0.187410002,4.642528736,0.002669654,0.695487564,4039
"YD46L1",0.125729466,3.190967108,0.001567273,0.614784155,3250
"YD46L2",0.129042419,2.928194298,0.001546854,0.612380632,2773
"YD46L3",0.15705963,3.503625209,0.001955148,0.607193899,3141
"YD46L4",0.1849,4.415757576,0.00267784,0.641073929,3643
"YD47L1",0.125000583,3.188532556,0.001550089,0.619015965,3281
"YD47L2",0.130952436,2.983333333,0.001554629,0.661117987,2864
"YD47L3",0.15871212,3.606157113,0.001915113,0.63741793,3397
"YD47L4",0.184445809,4.626575029,0.002651332,0.684068702,4039
"YD48L1",0.122987407,3.176358437,0.001514716,0.629940271,3332
"YD48L2",0.127804321,2.95563488,0.001507977,0.638650626,2898
"YD48L3",0.155901408,3.643202579,0.001958711,0.653257874,3390
"YD48L4",0.19186034,4.688679245,0.002766182,0.682462292,3976
