"","Average.clustering.coefficient","Average.degree","Density","Krackhardt.Connectedness","Total.links"
"YD1L1",0.056987739,5.424,0.043741935,0.760516129,339
"YD1L2",0.133452999,6.725663717,0.029891839,0.848652901,760
"YD1L3",0.254854359,4.539130435,0.039816934,0.564912281,261
"YD1L4",0.225573713,6.075757576,0.046379829,0.826509368,401
"YD16L1",0.07345225,6.910569106,0.028206405,0.650406504,850
"YD16L2",0.091755407,6.771186441,0.028813559,0.869022719,799
"YD16L3",0.174472719,5.319444444,0.037198912,0.707070707,383
"YD16L4",0.278163219,5.827586207,0.050674663,0.835082459,338
"YD17L1",0.135093061,6.123222749,0.029158204,0.713473257,646
"YD17L2",0.116369568,5.588235294,0.033066481,0.831465367,475
"YD17L3",0.267554612,3.378640777,0.033123929,0.64363221,174
"YD17L4",0.23717701,5.171052632,0.034245382,0.836441269,393
"YD18L1",0.102931212,5.962264151,0.028257176,0.66109273,632
"YD18L2",0.12091041,7.184079602,0.035920398,0.893631841,722
"YD18L3",0.227761843,6.444444444,0.042397661,0.849329205,493
"YD18L4",0.2297648,4.311926606,0.039925246,0.808698607,235
"YD2L1",0.107938981,3.834710744,0.031955923,0.580165289,232
"YD2L2",0.104390668,7.201834862,0.033188179,0.859003086,785
"YD2L3",0.211528685,6.080808081,0.062049062,0.882498454,301
"YD2L4",0.233635339,3.339449541,0.030920829,0.417091403,182
"YD22L1",0.109531678,6.143426295,0.024573705,0.768350598,771
"YD22L2",0.094519403,4.593939394,0.028011826,0.661936438,379
"YD22L3",0.272690646,5.988235294,0.035433345,0.779115907,509
"YD22L4",0.295572842,5.853211009,0.054196398,0.79204893,319
"YD23L1",0.121446971,7.212962963,0.033548665,0.815116279,779
"YD23L2",0.141970763,7.486725664,0.033274336,0.88833825,846
"YD23L3",0.253125967,6.068181818,0.034675325,0.776038961,534
"YD23L4",0.405519336,6.170731707,0.076181873,0.904847937,253
"YD24L1",0.109204099,6.631578947,0.029214004,0.832289976,756
"YD24L2",0.152223,5.228346457,0.041494813,0.720534933,332
"YD24L3",0.178780935,4.407407407,0.041190723,0.774143302,238
"YD24L4",0.148726815,4.319327731,0.036604472,0.839054266,257
"YD3L1",0.127365666,3.340206186,0.034793814,0.631228522,162
"YD3L2",0.097465621,2.620689655,0.030473136,0.565089548,114
"YD3L3",0.3709838,5.047619048,0.048534799,0.719413919,265
"YD3L4",0.296457739,4.10989011,0.045665446,0.872527473,187
"YD31L1",0.124893553,7.53030303,0.028632331,0.799170411,994
"YD31L2",0.048656845,5.167630058,0.030044361,0.834251916,447
"YD31L3",0.399574379,4.160714286,0.037483912,0.56547619,233
"YD31L4",0.190975792,4.061538462,0.031484794,0.880739416,264
"YD32L1",0.106472187,6.688311688,0.043714455,0.862405568,515
"YD32L2",0.138845796,7.031055901,0.043944099,0.857453416,566
"YD32L3",0.294757429,7.745454545,0.047228381,0.805025868,639
"YD32L4",0.295315221,3.638554217,0.044372612,0.732001175,151
"YD33L1",0.132112786,6.075268817,0.032839291,0.627608253,565
"YD33L2",0.095587686,7.473053892,0.045018397,0.746627227,624
"YD33L3",0.199060894,5.536,0.044645161,0.775225806,346
"YD33L4",0.196806627,3.84375,0.030265748,0.677411417,246
"YD43L1",0.183059552,3.042016807,0.025779803,0.448226748,181
"YD43L2",0.144947566,4.174603175,0.033396825,0.818666667,263
"YD43L3",0.309136994,4.949640288,0.035866959,0.733500156,344
"YD43L4",0.219185586,7.127071823,0.039594843,0.872068754,645
"YD44L1",0.12278439,5.887755102,0.030193616,0.834170591,577
"YD44L2",0.103779161,5.289256198,0.044077135,0.903305785,320
"YD44L3",0.261958682,7.064516129,0.05743509,0.905586153,438
"YD44L4",0.23973831,6.515337423,0.040218132,0.858214042,531
"YD45L1",0.084512038,7.278008299,0.030325035,0.803388658,877
"YD45L2",0.147345555,8.472361809,0.042789706,0.873711994,843
"YD45L3",0.272292944,6.864,0.055354839,0.937032258,429
"YD45L4",0.287455703,8.35,0.041959799,0.912110553,835
"YD46L1",0.094162414,6.351851852,0.029543497,0.759345392,686
"YD46L2",0.079931125,4.444444444,0.041536864,0.8573901,240
"YD46L3",0.229722394,3.79047619,0.036446886,0.626007326,199
"YD46L4",0.1863181,4.072072072,0.037018837,0.929238329,226
"YD47L1",0.117133601,4.111801242,0.025698758,0.615450311,331
"YD47L2",0.111381524,6.298342541,0.034990792,0.871823204,570
"YD47L3",0.234797425,4.446280992,0.037052342,0.515151515,269
"YD47L4",0.259874137,7.104972376,0.039472069,0.903130755,643
"YD48L1",0.054194634,3.488095238,0.020886798,0.657898489,293
"YD48L2",0.177525419,5.389830508,0.046066927,0.618571636,318
"YD48L3",0.263478668,5.238709677,0.034017595,0.725764558,406
"YD48L4",0.208174987,5.694656489,0.04380505,0.881620669,373
