"","Average.clustering.coefficient","Average.degree","Density","Krackhardt.Connectedness","Total.links"
"YD1L1",0,1.619047619,0.080952381,0.161904762,17
"YD1L2",0,1.384615385,0.115384615,0.256410256,9
"YD1L3",0.18446367,4.789473684,0.063859649,0.873333333,182
"YD1L4",0,2.6,0.044067797,0.696610169,78
"YD16L1",0,1.647058824,0.102941176,0.588235294,14
"YD16L2",0,1.090909091,0.109090909,0.127272727,6
"YD16L3",0.047301548,4.111111111,0.038421599,0.840602285,222
"YD16L4",0.08067587,5.156862745,0.051058047,0.904678703,263
"YD17L1",0,1.684210526,0.045519203,0.438122333,32
"YD17L2",0,2,0.044444444,0.649275362,46
"YD17L3",0.070568321,3.797752809,0.043156282,0.955566905,169
"YD17L4",0.019574006,3.236842105,0.043157895,0.800701754,123
"YD18L1",0,2.25,0.057692308,0.902564103,45
"YD18L2",0.011636414,3.772151899,0.048360922,0.950016228,149
"YD18L3",0.123448456,2.925925926,0.05520615,0.696016771,79
"YD18L4",0.081727273,3.397590361,0.041434029,0.753158977,141
"YD2L1",0.056693924,4.541176471,0.054061625,0.931092437,193
"YD2L2",0.055776601,4.924528302,0.04690027,0.925965858,261
"YD2L3",0.078158323,2.830188679,0.054426705,0.754716981,75
"YD2L4",0.091518718,3.957894737,0.042105263,0.958342665,188
"YD22L1",0.061675762,6,0.051282051,1,354
"YD22L2",0,1.769230769,0.070769231,0.483076923,23
"YD22L3",0.023039374,3.4,0.031192661,0.794328607,187
"YD22L4",0.066256982,4.341463415,0.053598314,0.904847937,178
"YD23L1",0.069270833,2.171428571,0.063865546,0.78487395,38
"YD23L2",0.036522611,3.930232558,0.04623803,0.865389877,169
"YD23L3",0,2.285714286,0.036866359,0.607270865,72
"YD23L4",0.13254999,2.340425532,0.050878816,0.440333025,55
"YD24L1",0.125,2.095238095,0.104761905,0.819047619,22
"YD24L2",0.176164422,3.254237288,0.056107539,1,96
"YD24L3",0.067989742,3.956043956,0.043956044,0.873260073,180
"YD24L4",0.064199293,5.294117647,0.044865404,0.764705882,315
"YD3L1",0.107388823,4.962962963,0.062037037,1,201
"YD3L2",0.030180224,3.721518987,0.047711782,0.950016228,147
"YD3L3",0.113564197,5.983739837,0.049047048,0.967746235,368
"YD3L4",0.079654802,3.793103448,0.044105854,0.824645817,165
"YD31L1",0,2,0.068965517,0.606896552,30
"YD31L2",NA,1,0.333333333,0.333333333,2
"YD31L3",0,2.093023256,0.049833887,0.495016611,45
"YD31L4",0.120280183,2.626506024,0.032030561,0.795474581,109
"YD32L1",0.122656642,3.70212766,0.080481036,0.916743756,87
"YD32L2",0.070415157,3.881188119,0.038811881,0.847920792,196
"YD32L3",0,1.612903226,0.053763441,0.387096774,25
"YD32L4",0.024295985,3.941176471,0.039021549,0.867792662,201
"YD33L1",0,1.411764706,0.088235294,0.25,12
"YD33L2",0.009249357,4.560747664,0.043025921,0.873743608,244
"YD33L3",0.006575964,2.739726027,0.03805175,0.590943683,100
"YD33L4",0.106277802,3.188405797,0.046888321,0.707587383,110
"YD43L1",0.111905632,3.084745763,0.053185272,0.933372297,91
"YD43L2",0,2,0.105263158,0.810526316,20
"YD43L3",0.040569488,4.75,0.046116505,0.870238984,247
"YD43L4",0.06806769,3.287356322,0.038225074,0.706762898,143
"YD44L1",0.053003698,4.914893617,0.052848318,0.876458476,231
"YD44L2",0,1.2,0.3,0.4,3
"YD44L3",0.027284687,4.612612613,0.041932842,0.929238329,256
"YD44L4",0.075546928,5.06122449,0.052177572,0.843467284,248
"YD45L1",0.008568443,2.583333333,0.054964539,0.768617021,62
"YD45L2",0.020499109,1.953488372,0.046511628,0.46179402,42
"YD45L3",0.06133659,5.019607843,0.049699088,0.831683168,256
"YD45L4",0.054912953,2.373626374,0.026373626,0.646153846,108
"YD46L1",0,1.529411765,0.095588235,0.323529412,13
"YD46L2",0.022727273,2.578947368,0.06970128,0.897581792,49
"YD46L3",0,2.257142857,0.032712215,0.536231884,79
"YD46L4",0.083098162,3.911111111,0.043945069,0.733333333,176
"YD47L1",0.083979643,6.566037736,0.062533693,0.96262354,348
"YD47L2",0.072360972,2.869565217,0.042199488,0.73316283,99
"YD47L3",0.117821068,2.406779661,0.041496201,0.663354763,71
"YD47L4",0.071228011,5.950819672,0.049180328,0.967484081,363
"YD48L1",0.047687075,2.690909091,0.04983165,0.928619529,74
"YD48L2",0.124270791,2.192307692,0.042986425,0.716440422,57
"YD48L3",0.097067941,4.684210526,0.06245614,0.824912281,178
"YD48L4",0.046692197,3.46875,0.055059524,0.878968254,111
