,richness
YD1L1,692
YD1L2,780
YD1L3,623
YD1L4,574
YD16L1,891
YD16L2,780
YD16L3,531
YD16L4,379
YD17L1,625
YD17L2,540
YD17L3,400
YD17L4,418
YD18L1,645
YD18L2,688
YD18L3,570
YD18L4,441
YD2L1,655
YD2L2,750
YD2L3,377
YD2L4,450
YD22L1,831
YD22L2,607
YD22L3,698
YD22L4,311
YD23L1,677
YD23L2,726
YD23L3,589
YD23L4,223
YD24L1,781
YD24L2,474
YD24L3,408
YD24L4,377
YD3L1,490
YD3L2,368
YD3L3,375
YD3L4,345
YD31L1,799
YD31L2,752
YD31L3,343
YD31L4,339
YD32L1,592
YD32L2,515
YD32L3,530
YD32L4,277
YD33L1,695
YD33L2,782
YD33L3,396
YD33L4,661
YD43L1,446
YD43L2,473
YD43L3,456
YD43L4,483
YD44L1,627
YD44L2,422
YD44L3,534
YD44L4,454
YD45L1,773
YD45L2,784
YD45L3,443
YD45L4,693
YD46L1,847
YD46L2,516
YD46L3,385
YD46L4,374
YD47L1,516
YD47L2,585
YD47L3,475
YD47L4,456
YD48L1,588
YD48L2,530
YD48L3,418
YD48L4,444
