,richness
YD1L1,420
YD1L2,310
YD1L3,575
YD1L4,550
YD16L1,318
YD16L2,229
YD16L3,677
YD16L4,465
YD17L1,372
YD17L2,397
YD17L3,547
YD17L4,481
YD18L1,407
YD18L2,574
YD18L3,542
YD18L4,627
YD2L1,649
YD2L2,711
YD2L3,479
YD2L4,611
YD22L1,706
YD22L2,361
YD22L3,613
YD22L4,499
YD23L1,325
YD23L2,526
YD23L3,564
YD23L4,491
YD24L1,409
YD24L2,451
YD24L3,554
YD24L4,618
YD3L1,524
YD3L2,672
YD3L3,754
YD3L4,586
YD31L1,439
YD31L2,143
YD31L3,395
YD31L4,513
YD32L1,402
YD32L2,628
YD32L3,401
YD32L4,553
YD33L1,378
YD33L2,790
YD33L3,631
YD33L4,616
YD43L1,489
YD43L2,340
YD43L3,643
YD43L4,580
YD44L1,626
YD44L2,157
YD44L3,730
YD44L4,552
YD45L1,327
YD45L2,461
YD45L3,620
YD45L4,518
YD46L1,308
YD46L2,387
YD46L3,635
YD46L4,526
YD47L1,717
YD47L2,548
YD47L3,414
YD47L4,576
YD48L1,458
YD48L2,519
YD48L3,486
YD48L4,397
