,richness
YD1L1,10363
YD1L2,9665
YD1L3,8208
YD1L4,7695
YD16L1,9752
YD16L2,8923
YD16L3,8331
YD16L4,7333
YD17L1,9755
YD17L2,8531
YD17L3,8129
YD17L4,7006
YD18L1,10395
YD18L2,9080
YD18L3,8159
YD18L4,7079
YD2L1,10648
YD2L2,9218
YD2L3,8127
YD2L4,7971
YD22L1,10062
YD22L2,8952
YD22L3,8275
YD22L4,7582
YD23L1,10058
YD23L2,9185
YD23L3,8885
YD23L4,7256
YD24L1,10279
YD24L2,8656
YD24L3,8181
YD24L4,7701
YD3L1,9864
YD3L2,8921
YD3L3,7909
YD3L4,8183
YD31L1,10124
YD31L2,8943
YD31L3,8197
YD31L4,7986
YD32L1,9998
YD32L2,8587
YD32L3,8311
YD32L4,7339
YD33L1,10358
YD33L2,8597
YD33L3,7991
YD33L4,7396
YD43L1,9556
YD43L2,8618
YD43L3,8067
YD43L4,8015
YD44L1,10108
YD44L2,9283
YD44L3,7758
YD44L4,7034
YD45L1,10032
YD45L2,9191
YD45L3,8001
YD45L4,7435
YD46L1,10708
YD46L2,9150
YD46L3,8656
YD46L4,7746
YD47L1,9693
YD47L2,9094
YD47L3,8375
YD47L4,7826
YD48L1,10573
YD48L2,9440
YD48L3,8143
YD48L4,7189
