,cell_diameter,cell_length,doubling_h,growth_tmp,optimum_tmp,optimum_ph,genome_size,gc_content,coding_genes,rRNA16S_genes,tRNA_genes
Zotu10,-0.3505,0.1512,0.9745,41.94,52.04,6.077,4230000,59.04,4002,1.412,47.99
Zotu100,-0.3875,0.2621,0.8624,35.54,40.11,6.617,5420000,59.02,4246,1.441,47.89
Zotu1000,0.1673,0.1371,0.717,28,28.35,6.916,6200000,71.79,8403,3.216,61.6
Zotu10000,-0.2409,0.1459,0.941,54.08,52.1,7.131,4080000,57.81,3346,1.684,47.91
Zotu10001,-0.1995,0.1002,0.7559,31.77,32.14,7.014,6600000,68.9,5475,2.967,51.6
Zotu10002,-0.2497,0.3291,0.63,46.08,47.88,7.055,2870000,56.64,2797,2.782,51.19
Zotu10003,0.08168,0.1908,0.9977,31.28,29.47,6.084,7910000,64.22,5885,4.351,62.3
Zotu10004,-0.251,0.2404,0.7286,37.47,36.11,6.874,3730000,52.26,3281,1.918,48.12
Zotu10005,-0.3505,0.1512,0.9745,41.94,52.04,6.077,4230000,59.04,4002,1.412,47.99
Zotu10006,-0.4483,0.1591,0.3714,29.79,29.17,6.973,5670000,44.55,5771,3.71,54.77
Zotu10007,-0.3356,0.3496,0.767,43.46,39.45,6.521,3350000,51.95,3051,1.903,47.49
Zotu10009,-0.334,0.3497,0.7175,32.25,40.46,6.883,3480000,48.56,3186,2.098,48.56
Zotu1001,-0.2232,0.194,0.6168,43.44,40.65,7.06,3630000,61.64,3777,2.166,49.16
Zotu10010,0.002106,0.08859,1.014,28.9,28.2,6.322,6950000,55.3,5007,1.944,54.51
Zotu10011,-0.1493,0.5362,0.8953,30.86,30.66,7.86,9380000,67.92,7465,2.645,57.6
Zotu10012,0.191,0.2577,0.9977,24.09,26.22,6.084,8760000,59.98,5311,2.103,58.59
Zotu10013,-0.2232,0.194,0.6168,43.44,40.65,7.06,3630000,61.64,3777,2.166,49.16
Zotu10014,-0.1216,0.262,0.7953,53.45,54.75,7.472,4060000,59.86,3211,2.041,48.85
Zotu10015,-0.334,0.3497,0.7175,32.25,40.46,6.883,3480000,48.56,3186,2.098,48.56
Zotu10016,-0.2497,0.3291,0.63,48.27,49.75,7.055,2860000,56.64,2797,2.782,51.19
Zotu10017,-0.2724,0.1697,0.3441,30.89,31.46,7.142,3570000,58.86,3273,2.028,47.14
Zotu10018,-0.2796,0.01474,-0.02368,25.6,26.56,7.516,3590000,44.95,3578,9.192,79.59
Zotu10019,-0.3584,0.5582,0.5464,29.37,32.61,7.207,4220000,40.58,3659,3.124,47.58
Zotu1002,-0.1656,0.07675,0.7559,27.99,27.44,7.431,8450000,70.21,6435,3.539,55.81
Zotu10020,-0.3505,0.1512,0.9745,34.34,38.88,6.077,5190000,59.04,4002,1.412,47.99
Zotu10021,-0.251,0.2404,0.7286,37.47,31.34,6.874,4100000,57.56,3526,1.571,47.87
Zotu10022,-0.1493,0.5362,0.8953,30.86,30.66,7.86,9380000,67.92,7465,2.645,57.6
Zotu10023,-0.1252,0.1766,0.6168,29.95,29.84,7.384,6350000,61.64,3777,2.166,49.16
Zotu10024,-0.2232,0.194,0.6168,43.44,40.65,7.06,3630000,61.64,3777,2.166,49.16
Zotu10025,-0.4052,0.1137,0.3235,21.82,28.57,7.355,3080000,56.06,2962,2.194,46.92
Zotu10026,-0.239,-0.4147,0.4132,29.32,31.85,6.933,4470000,66.71,3874,2.023,49.79
Zotu10027,-0.1067,0.1308,0.7286,28.71,31.09,6.123,5870000,57.43,2765,1.523,52.62
Zotu10028,-0.09736,0.3789,0.7531,46.07,47.66,7.261,3150000,52.66,2834,2.404,48.48
Zotu10029,-0.2232,0.194,0.6168,43.44,40.65,7.06,3630000,61.64,3777,2.166,49.16
Zotu1003,-0.3006,0.1497,0.4323,33.82,33.17,7.423,2970000,54.5,2901,2.543,48.53
Zotu10030,-0.3982,0.2473,0.3714,29.79,29.43,6.93,5670000,44.55,5771,3.71,54.77
Zotu10031,-0.2733,0.2443,0.3754,33.61,32.52,7.171,3530000,61.27,3398,2.378,49.18
Zotu10032,-0.1252,0.1766,0.6168,29.95,29.84,7.384,6350000,71.26,3777,2.166,49.16
Zotu10033,-0.2273,0.4393,0.1953,55.91,62.6,7.512,3500000,51.59,3226,9.206,88.15
Zotu10034,0.001002,0.07812,1.014,28.21,27.89,7.026,6550000,56.41,5315,1.541,56.17
Zotu10035,-0.251,0.2404,0.7286,37.47,31.34,6.874,4100000,57.56,3526,1.571,47.87
Zotu10036,0.001002,0.07812,1.014,28.21,27.47,7.026,6520000,56.41,5315,1.541,56.17
Zotu10037,-0.2848,0.225,0.6168,35.62,30.25,7.041,4910000,62.52,4057,2.232,49.27
Zotu10038,-0.334,0.3497,0.7175,32.25,40.46,6.883,3480000,48.56,3186,2.098,48.56
Zotu10039,-0.3169,0.1439,1.002,26.82,34.91,5.847,6130000,59.04,4002,1.412,47.99
Zotu1004,-0.3169,0.1439,1.002,26.82,34.91,5.847,5340000,59.04,4002,1.412,47.99
Zotu10040,-0.2484,0.1686,0.6168,35.62,33.48,7.041,4910000,62.52,4057,2.232,49.27
Zotu10041,-0.2105,0.1477,0.795,29.57,33.37,7.146,3900000,59.25,3830,2.059,47.55
Zotu10042,-0.251,0.2404,0.7286,37.47,31.34,6.874,4100000,57.56,3526,1.571,47.87
Zotu10043,-0.1216,0.262,0.7953,53.45,54.75,7.472,4060000,59.86,3211,2.041,48.85
Zotu10044,-0.2497,0.3291,0.63,48.27,49.75,7.055,2690000,55.92,2797,2.782,51.19
Zotu10045,-0.3505,0.1512,0.9745,41.94,52.04,6.077,4230000,59.04,4002,1.412,47.99
Zotu10046,-0.3351,0.05291,0.7062,28.7,29.83,7.606,4130000,61,4814,2.045,49.33
Zotu10047,-0.1187,0.5969,0.8953,30.09,30.48,7.802,8450000,66.23,7352,2.613,57.21
Zotu10048,-0.2541,0.09753,0.3714,29.67,29.41,6.794,5540000,45.77,4606,2.372,44.03
Zotu10049,-0.1493,0.5362,0.8953,30.86,30.66,7.86,9380000,67.92,7465,2.645,57.6
Zotu1005,-0.04211,0.1713,0.6168,28.04,29.84,7.384,8560000,61.64,3777,2.166,49.16
Zotu10050,-0.3505,0.1512,0.9745,41.94,52.04,6.077,4230000,59.04,4002,1.412,47.99
Zotu10051,-0.334,0.3497,0.7175,32.25,40.46,6.883,5870000,66.62,4908,1.779,48.33
Zotu10052,-0.334,0.3497,0.7175,32.25,40.46,6.883,5870000,66.62,4908,1.779,48.33
Zotu10053,0.08168,0.1908,0.9977,31.28,29.47,6.084,7910000,64.22,5885,4.351,62.3
Zotu10054,-0.2793,-0.08668,0.6882,35.62,32.27,7.076,5780000,66.93,5472,1.91,46.58
Zotu10055,-0.1187,0.5969,0.8953,30.09,30.48,7.802,8450000,66.23,7352,2.613,57.21
Zotu10056,-0.3505,0.1512,0.9745,28.56,52.04,6.077,4220000,58.2,4002,1.412,47.99
Zotu10057,-0.1187,0.5969,0.8953,30.09,30.48,7.802,8450000,66.23,7352,2.613,57.21
Zotu10058,-0.3715,-0.04635,0.7481,29.2,30.33,6.945,3550000,69.84,3325,1.881,48.02
Zotu10059,-0.3169,0.1439,1.002,26.82,34.91,5.847,6130000,59.04,4002,1.412,47.99
Zotu1006,-0.1067,0.1308,0.7286,28.71,31.09,6.123,5870000,57.43,2765,1.523,52.62
Zotu10060,0.001002,0.07812,1.014,28.21,27.47,7.026,6520000,56.41,5315,1.541,56.17
Zotu10061,0.01559,0.1257,1.014,29.3,28.41,6.322,6270000,56.83,4988,1.618,54.21
Zotu10062,-0.2232,0.194,0.6168,43.44,40.65,7.06,3630000,61.64,3777,2.166,49.16
Zotu10063,-0.2685,0.09959,0.7006,29.37,28.75,8.357,7530000,67.75,6468,3.002,52.57
Zotu10064,0.08168,0.1908,0.9977,29.57,28.5,6.084,6990000,59.98,5311,2.103,58.59
Zotu10065,-0.3875,0.2621,0.8624,35.54,40.11,6.617,5420000,59.02,4246,1.441,47.89
Zotu10066,-0.2484,0.1686,0.6168,35.62,33.48,7.041,4910000,62.52,4057,2.232,49.27
Zotu10067,-0.3335,0.2836,0.3714,31.71,29.94,6.738,5950000,45.83,5831,4.091,57.48
Zotu10068,-0.3607,0.3504,0.6989,41.19,40.32,6.908,3540000,47.44,3086,2.022,48.03
Zotu10069,-0.1774,0.09056,0.7559,27.99,27.53,6.958,8170000,70.18,6435,3.539,55.81
Zotu1007,-0.1173,0.5937,0.8953,30.1,30.37,7.86,8570000,66.47,7465,2.645,57.6
Zotu10070,-0.3875,0.2621,0.8624,41.98,40.65,6.648,4590000,55.41,3118,1.903,47.56
Zotu10071,-0.1204,-0.01159,0.7286,34.7,26.77,7.482,7630000,58.16,3658,1.423,47.9
Zotu10072,-0.2115,0.04351,0.7559,27.78,28.63,7.336,6700000,69.78,5270,3.181,52.38
Zotu10073,-0.1774,0.09056,0.7559,28,26.21,6.286,8180000,70.18,6435,3.539,55.81
Zotu10074,-0.1067,0.1308,0.7286,28.71,31.09,6.123,5870000,57.43,2765,1.523,52.62
Zotu10075,-0.3091,0.04331,0.4621,31.25,32.21,6.851,2880000,63.35,4343,2.264,50.82
Zotu10076,-0.2484,0.1686,0.6168,35.62,33.48,7.041,4910000,62.52,4057,2.232,49.27
Zotu10077,-0.3356,0.3669,0.7184,42.76,40.28,7,3590000,50.84,3194,2.111,48.76
Zotu10078,0.001002,0.07812,1.014,28.21,27.47,7.026,6520000,56.41,5315,1.541,56.17
Zotu10079,-0.1252,0.1766,0.6168,28.95,29.84,7.384,6350000,71.26,3777,2.166,49.16
Zotu1008,-0.3169,0.1439,1.002,26.82,34.91,5.847,6130000,59.04,4002,1.412,47.99
Zotu10080,-0.3365,0.3497,0.7015,43.47,41.41,6.883,3750000,49.58,3117,1.903,47.56
Zotu10081,0.08168,0.1908,0.9977,29.57,28.5,6.084,6990000,59.98,5311,2.103,58.59
Zotu10082,0.002106,0.08859,1.014,28.9,28.2,6.322,6950000,55.3,5007,1.944,54.51
Zotu10083,-0.2232,0.194,0.6168,42.3,40.65,7.06,4160000,61.64,3777,2.166,49.16
Zotu10084,-0.2409,0.1459,0.941,54.08,52.1,7.131,4080000,57.81,3346,1.684,47.91
Zotu10085,-0.08173,0.5796,0.7953,48.11,48.5,7.542,5820000,59.35,3830,2.354,48.45
Zotu10086,-0.2409,0.1459,0.941,53.38,51.32,7.134,4280000,57.17,3255,1.706,47.96
Zotu10088,-0.3093,0.177,0.6168,40.96,34.79,5.364,2190000,59.66,4057,2.232,49.27
Zotu10089,-0.3438,-0.02669,0.2151,36.44,30.92,7.112,5590000,66.34,4799,2.996,48.56
Zotu1009,-0.06048,0.471,-0.1076,29.95,33.05,7.333,5190000,40.58,4859,10.28,97.35
Zotu10090,0.08168,0.1908,0.9977,29.57,28.5,6.084,6990000,59.98,5311,2.103,58.59
Zotu10091,-0.251,0.2404,0.7286,37.47,31.34,6.874,4100000,57.56,3526,1.571,47.87
Zotu10092,-0.251,0.2404,0.7286,37.47,31.34,6.874,4100000,57.56,3526,1.571,47.87
Zotu10093,-0.334,0.3497,0.7175,32.25,40.46,6.883,3480000,48.56,3186,2.098,48.56
Zotu10094,-0.3875,0.2621,0.8624,35.54,40.11,6.617,5420000,59.02,4246,1.441,47.89
Zotu10095,-0.334,0.3497,0.7175,32.25,40.46,6.883,5870000,66.62,4908,1.779,48.33
Zotu10096,-0.1917,0.301,0.7789,29.86,30.34,7.192,4790000,56.93,3690,3.289,51.42
Zotu10097,-0.1168,0.3541,0.9008,33.01,33.82,7.699,2370000,44.66,2517,1.925,44.7
Zotu10098,-0.3169,0.1439,1.002,26.82,34.91,5.847,6130000,59.04,4002,1.412,47.99
Zotu10099,-0.1774,0.09056,0.7559,27.89,26.51,6.759,8830000,70.18,6435,3.539,55.81
Zotu101,-0.1944,0.1307,0.8099,28.83,30.37,7.161,4520000,62.98,4371,2.164,48.78
Zotu1010,-0.3875,0.2621,0.8624,35.54,40.11,6.617,5420000,59.02,4246,1.441,47.89
Zotu10100,-0.3403,0.2086,0.5464,25.55,26.1,6.504,6420000,41.62,4540,3.249,51.23
Zotu10101,-0.3093,0.177,0.6168,40.96,34.79,5.364,2190000,59.66,4057,2.232,49.27
Zotu10102,0.08168,0.1908,0.9977,29.57,28.5,6.084,6990000,59.98,5311,2.103,58.59
Zotu10103,-0.1067,0.1308,0.7286,28.71,31.09,6.123,5870000,57.43,2765,1.523,52.62
Zotu10104,-0.04893,0.5687,0.8953,29.01,27.9,7.86,8680000,69.49,10400,3.671,70.55
Zotu10105,-0.2232,0.194,0.6168,43.44,40.65,7.06,3630000,61.64,3777,2.166,49.16
Zotu10106,-0.1168,0.3541,0.9008,33.01,33.82,7.699,2370000,44.66,2517,1.925,44.7
Zotu10107,-0.3434,0.4567,0.3714,30.02,30.23,6.635,5580000,44.7,5802,3.867,56
Zotu10108,-0.251,0.2404,0.7286,37.47,34.03,6.874,3540000,55.46,3692,1.918,48.95
Zotu10109,-0.3365,0.3497,0.7015,43.47,41.41,6.883,3750000,49.58,3117,1.903,47.56
Zotu10110,-0.251,0.2404,0.7286,37.47,31.34,6.874,4100000,57.56,3526,1.571,47.87
Zotu10111,-0.2497,0.3291,0.63,48.27,49.75,7.055,2690000,55.92,2797,2.782,51.19
Zotu10112,-0.346,0.4571,0.3714,31.21,31.9,7.135,5130000,43.37,4504,2.958,48.7
Zotu10113,-0.2409,0.1459,0.941,53.38,51.32,7.134,4280000,57.17,3255,1.706,47.96
Zotu10114,-0.3356,0.3669,0.7184,42.76,40.28,7,3590000,50.84,3194,2.111,48.76
Zotu10115,-0.3142,0.1132,0.795,27.95,27.23,6.976,4230000,65.11,4542,2.32,51.61
Zotu10116,-0.3439,0.4608,0.3714,29.28,29.92,6.798,5910000,44.33,5771,3.71,54.77
Zotu10117,-0.0076,0.1172,0.717,30.62,28.04,6.888,7240000,71.79,8403,3.216,61.6
Zotu10118,-0.08487,0.4097,0.8053,29.29,31.02,7.632,3960000,57.86,3489,1.489,45.52
Zotu10119,-0.2484,0.1686,0.6168,35.62,33.48,7.041,4910000,62.52,4057,2.232,49.27
Zotu1012,-0.3356,0.3669,0.7184,42.76,40.28,7,3590000,50.84,3194,2.111,48.76
Zotu10120,-0.3357,0.367,0.7184,42.76,40.28,7,3420000,47.71,3194,2.111,48.76
Zotu10121,-0.1216,0.262,0.7953,53.25,54.55,7.252,3870000,56.7,3006,1.97,48.65
Zotu10122,-0.2232,0.194,0.6168,43.44,40.65,7.06,3630000,61.64,3777,2.166,49.16
Zotu10123,0.002106,0.08859,1.014,28.9,28.2,6.322,6950000,55.3,5007,1.944,54.51
Zotu10124,-0.3875,0.2621,0.8624,35.54,40.11,6.617,5420000,59.02,4246,1.441,47.89
Zotu10125,-0.1216,0.262,0.7953,53.25,54.55,7.252,3870000,56.7,3006,1.97,48.65
Zotu10126,-0.2232,0.194,0.6168,43.44,40.65,7.06,3630000,61.64,3777,2.166,49.16
Zotu10127,-0.2622,0.09056,0.7559,27.59,30.93,7.464,7010000,72.47,6435,3.539,55.81
Zotu10128,-0.1503,0.2096,0.8366,51.88,51.56,7.186,3930000,55.8,2943,1.932,48.33
Zotu10129,-0.2484,0.1686,0.6168,35.62,33.48,7.041,4910000,62.52,4057,2.232,49.27
